"","source","purp","origPlace","count","dist"
"313","survey","visit",7,56.0132921369863,768.277688355053
"314","survey","visit",8,3.1445125890411,570.316945332933
"315","survey","visit",9,5.90312084931507,456.580819669468
"316","survey","visit",10,7.59091754794521,1489.45397500743
"317","survey","visit",11,27.7867582054795,1327.13295366557
"318","survey","visit",12,11.8572929452055,1104.20997414284
"319","survey","visit",13,43.3180800547945,1079.44727663651
"320","survey","visit",14,0.618247821917808,733.680897892543
"321","survey","visit",15,29.5634442328767,925.367041830284
"322","survey","visit",16,14.6651788082192,1159.29621318601
"323","survey","visit",17,8.30912305479452,1002.73255753657
"324","survey","visit",18,61.6314142054795,987.254978956516
"325","survey","visit",19,33.0720919589041,1149.14478278398
"326","survey","visit",20,148.872893630137,1507.44089323668
"327","survey","visit",21,642.564831410959,1287.29475841619
"328","survey","visit",22,202.075532890411,980.655059719329
"329","survey","visit",23,0.507398493150685,385.377653448356
"330","survey","visit",24,6.74634323287671,1326.99147806298
"331","survey","visit",25,9.8876435890411,1128.0009289208
"332","survey","visit",26,39.8387505890411,870.574860061106
"333","survey","visit",27,66.9546143561644,1085.21998953403
"334","survey","visit",28,68.0757091780822,783.825504767831
"335","survey","visit",29,68.8866028356164,726.507024608564
"336","survey","visit",30,445.660137657534,299.509248513391
"337","survey","visit",31,16.972265739726,573.378493152989
"338","survey","visit",32,11.7943645616438,300.528742967068
"339","survey","visit",33,34.6780436027397,557.034045538334
"340","survey","visit",35,21.0284797260274,587.079495090185
"341","survey","visit",36,76.1258861232877,1058.01312479492
"342","survey","visit",37,7.01015306849315,987.800577839929
"343","survey","visit",38,22.1788399041096,685.26297515949
"344","survey","visit",39,23.817954630137,625.783685932034
"345","survey","visit",40,3.51503868493151,749.065055241995
"346","survey","visit",41,11.3593914657534,689.004115527066
"347","survey","visit",42,48.1042302191781,375.591634650704
"348","survey","visit",43,597.202372506849,150.97964053129
"349","survey","visit",44,50.6695874931507,189.351253899144
"350","survey","visit",45,92.3147630931507,226.001350935141
"351","survey","visit",46,3.20674278082192,266.068161289237
"352","survey","visit",47,121.508307917808,683.038860167111
"353","survey","visit",48,10.9336532876712,343.514401235181
"354","survey","visit",49,10.8278385479452,768.922358025736
"355","survey","visit",50,23.9410937671233,1030.0877318065
"356","survey","visit",51,8.31079512328767,1924.34341469552
"357","survey","visit",52,27.4984195479452,1383.38054753324
"358","survey","visit",53,31.93221,1104.24351656651
"359","survey","visit",54,4.03994367123288,1330.99414913952
"360","survey","visit",55,1.66608269863014,2748.83914990779
"361","survey","visit",56,12.3780681917808,1192.61570723911
"362","survey","visit",57,14.7290389726027,1508.18699289929
"363","survey","visit",58,10.6966910684932,638.754192485807
"364","survey","visit",59,1.54268876712329,719.663958943231
"365","survey","visit",61,2.83083261643836,856.636807297519
"366","survey","visit",62,12.8319806027397,1442.9512597646
"367","survey","visit",63,7.91763936986301,1255.9094412335
"368","survey","visit",64,8.62273221917808,2301.77512427844
"369","survey","visit",65,80.3870401835617,706.860866538281
"370","survey","visit",66,31.4001686712329,1302.49587665256
"371","survey","visit",67,4.81814657534247,1022.21908479944
"372","survey","visit",68,209.020955945205,473.22693724015
"373","survey","visit",69,36.4654705068493,928.859411384141
